mandal_name,city,year,day_of_festival,hour_of_day,is_weekend,is_special_day,weather,headcount
Siddhivinayak Temple,Mumbai,2010,3,19,0,0,Heavy Rain,12491
Siddhivinayak Temple,Mumbai,2010,3,20,0,0,Sunny,30446
Siddhivinayak Temple,Mumbai,2010,3,21,0,0,Cloudy,44965
Siddhivinayak Temple,Mumbai,2010,3,22,0,0,Cloudy,32343
Siddhivinayak Temple,Mumbai,2010,3,23,0,0,Sunny,30565
Siddhivinayak Temple,Mumbai,2010,4,0,0,0,Cloudy,12470
Siddhivinayak Temple,Mumbai,2010,4,1,0,0,Humid,3886
Siddhivinayak Temple,Mumbai,2010,4,2,0,0,Cloudy,1968
Siddhivinayak Temple,Mumbai,2010,4,3,0,0,Light Rain,581
Siddhivinayak Temple,Mumbai,2010,4,4,0,0,Cloudy,730
Siddhivinayak Temple,Mumbai,2010,4,5,0,0,Sunny,2542
Siddhivinayak Temple,Mumbai,2010,4,6,0,0,Light Rain,6058
Siddhivinayak Temple,Mumbai,2010,4,7,0,0,Light Rain,5737
Siddhivinayak Temple,Mumbai,2010,4,8,0,0,Humid,10320
Siddhivinayak Temple,Mumbai,2010,4,9,0,0,Cloudy,9361
Siddhivinayak Temple,Mumbai,2010,4,10,0,0,Sunny,7909
Siddhivinayak Temple,Mumbai,2010,4,11,0,0,Light Rain,5136
Siddhivinayak Temple,Mumbai,2010,4,12,0,0,Cloudy,11057
Siddhivinayak Temple,Mumbai,2010,4,13,0,0,Heavy Rain,3722
Siddhivinayak Temple,Mumbai,2010,4,14,0,0,Humid,12048
Siddhivinayak Temple,Mumbai,2010,4,15,0,0,Sunny,10536
Siddhivinayak Temple,Mumbai,2010,4,16,0,0,Light Rain,5158
Siddhivinayak Temple,Mumbai,2010,4,17,0,0,Light Rain,5425
Siddhivinayak Temple,Mumbai,2010,4,18,0,0,Sunny,48693
Siddhivinayak Temple,Mumbai,2010,4,19,0,0,Sunny,26885
Siddhivinayak Temple,Mumbai,2010,4,20,0,0,Heavy Rain,17012
Siddhivinayak Temple,Mumbai,2010,4,21,0,0,Heavy Rain,9552
Siddhivinayak Temple,Mumbai,2010,4,22,0,0,Heavy Rain,13912
Siddhivinayak Temple,Mumbai,2010,4,23,0,0,Sunny,27066
Siddhivinayak Temple,Mumbai,2010,5,0,0,1,Sunny,8152
Siddhivinayak Temple,Mumbai,2010,5,1,0,1,Cloudy,858
Siddhivinayak Temple,Mumbai,2010,5,2,0,1,Light Rain,2782
Siddhivinayak Temple,Mumbai,2010,5,3,0,1,Humid,1416
Siddhivinayak Temple,Mumbai,2010,5,4,0,1,Cloudy,2192
Siddhivinayak Temple,Mumbai,2010,5,5,0,1,Humid,1470
Siddhivinayak Temple,Mumbai,2010,5,6,0,1,Sunny,9742
Siddhivinayak Temple,Mumbai,2010,5,7,0,1,Humid,10025
Siddhivinayak Temple,Mumbai,2010,5,8,0,1,Cloudy,10308
Siddhivinayak Temple,Mumbai,2010,5,9,0,1,Sunny,8223
Siddhivinayak Temple,Mumbai,2010,5,10,0,1,Humid,11199
Siddhivinayak Temple,Mumbai,2010,5,11,0,1,Heavy Rain,5494
Siddhivinayak Temple,Mumbai,2010,5,12,0,1,Heavy Rain,2909
Siddhivinayak Temple,Mumbai,2010,5,13,0,1,Humid,8887
Siddhivinayak Temple,Mumbai,2010,5,14,0,1,Heavy Rain,3692
Siddhivinayak Temple,Mumbai,2010,5,15,0,1,Cloudy,11069
Siddhivinayak Temple,Mumbai,2010,5,16,0,1,Sunny,12739
Siddhivinayak Temple,Mumbai,2010,5,17,0,1,Heavy Rain,3655
Siddhivinayak Temple,Mumbai,2010,5,18,0,1,Light Rain,18048
Siddhivinayak Temple,Mumbai,2010,5,19,0,1,Heavy Rain,15686
Siddhivinayak Temple,Mumbai,2010,5,20,0,1,Heavy Rain,17460
Siddhivinayak Temple,Mumbai,2010,5,21,0,1,Humid,22776
Siddhivinayak Temple,Mumbai,2010,5,22,0,1,Light Rain,17514
Siddhivinayak Temple,Mumbai,2010,5,23,0,1,Cloudy,33582
Siddhivinayak Temple,Mumbai,2010,6,0,0,0,Heavy Rain,3613
Siddhivinayak Temple,Mumbai,2010,6,1,0,0,Sunny,2383
Siddhivinayak Temple,Mumbai,2010,6,2,0,0,Sunny,1964
Siddhivinayak Temple,Mumbai,2010,6,3,0,0,Light Rain,986
Siddhivinayak Temple,Mumbai,2010,6,4,0,0,Heavy Rain,619
Siddhivinayak Temple,Mumbai,2010,6,5,0,0,Cloudy,3220
Siddhivinayak Temple,Mumbai,2010,6,6,0,0,Heavy Rain,4511
Siddhivinayak Temple,Mumbai,2010,6,7,0,0,Cloudy,8311
Siddhivinayak Temple,Mumbai,2010,6,8,0,0,Light Rain,6608
Siddhivinayak Temple,Mumbai,2010,6,9,0,0,Sunny,12849
Siddhivinayak Temple,Mumbai,2010,6,10,0,0,Cloudy,11276
Siddhivinayak Temple,Mumbai,2010,6,11,0,0,Sunny,10684
Siddhivinayak Temple,Mumbai,2010,6,12,0,0,Light Rain,8479
Siddhivinayak Temple,Mumbai,2010,6,13,0,0,Sunny,11026
Siddhivinayak Temple,Mumbai,2010,6,14,0,0,Humid,13705
Siddhivinayak Temple,Mumbai,2010,6,15,0,0,Heavy Rain,4820
Siddhivinayak Temple,Mumbai,2010,6,16,0,0,Humid,9773
Siddhivinayak Temple,Mumbai,2010,6,17,0,0,Cloudy,11380
Siddhivinayak Temple,Mumbai,2010,6,18,0,0,Humid,22760
Siddhivinayak Temple,Mumbai,2010,6,19,0,0,Sunny,38356
Siddhivinayak Temple,Mumbai,2010,6,20,0,0,Sunny,37366
Siddhivinayak Temple,Mumbai,2010,6,21,0,0,Heavy Rain,8042
Siddhivinayak Temple,Mumbai,2010,6,22,0,0,Heavy Rain,15769
Siddhivinayak Temple,Mumbai,2010,6,23,0,0,Cloudy,37813
Siddhivinayak Temple,Mumbai,2010,7,0,1,1,Cloudy,28642
Siddhivinayak Temple,Mumbai,2010,7,1,1,1,Heavy Rain,2986
Siddhivinayak Temple,Mumbai,2010,7,2,1,1,Humid,3482
Siddhivinayak Temple,Mumbai,2010,7,3,1,1,Heavy Rain,3775
Siddhivinayak Temple,Mumbai,2010,7,4,1,1,Humid,7604
Siddhivinayak Temple,Mumbai,2010,7,5,1,1,Light Rain,3872
Siddhivinayak Temple,Mumbai,2010,7,6,1,1,Cloudy,17779
Siddhivinayak Temple,Mumbai,2010,7,7,1,1,Humid,17096
Siddhivinayak Temple,Mumbai,2010,7,8,1,1,Sunny,11290
Siddhivinayak Temple,Mumbai,2010,7,9,1,1,Heavy Rain,5764
Siddhivinayak Temple,Mumbai,2010,7,10,1,1,Sunny,20456
Siddhivinayak Temple,Mumbai,2010,7,11,1,1,Light Rain,13972
Siddhivinayak Temple,Mumbai,2010,7,12,1,1,Cloudy,21869
Siddhivinayak Temple,Mumbai,2010,7,13,1,1,Heavy Rain,8672
Siddhivinayak Temple,Mumbai,2010,7,14,1,1,Humid,23122
Siddhivinayak Temple,Mumbai,2010,7,15,1,1,Heavy Rain,7486
Siddhivinayak Temple,Mumbai,2010,7,16,1,1,Sunny,19205
Siddhivinayak Temple,Mumbai,2010,7,17,1,1,Heavy Rain,9195
Siddhivinayak Temple,Mumbai,2010,7,18,1,1,Light Rain,26225
Siddhivinayak Temple,Mumbai,2010,7,19,1,1,Humid,61654
Siddhivinayak Temple,Mumbai,2010,7,20,1,1,Heavy Rain,22817
Siddhivinayak Temple,Mumbai,2010,7,21,1,1,Sunny,63305
Siddhivinayak Temple,Mumbai,2010,7,22,1,1,Sunny,41682
Siddhivinayak Temple,Mumbai,2010,7,23,1,1,Sunny,93379
Siddhivinayak Temple,Mumbai,2010,8,0,1,0,Sunny,11286
Siddhivinayak Temple,Mumbai,2010,8,1,1,0,Heavy Rain,1618
Siddhivinayak Temple,Mumbai,2010,8,2,1,0,Light Rain,1190
Siddhivinayak Temple,Mumbai,2010,8,3,1,0,Heavy Rain,1432
Siddhivinayak Temple,Mumbai,2010,8,4,1,0,Sunny,4633
Siddhivinayak Temple,Mumbai,2010,8,5,1,0,Heavy Rain,1552
Siddhivinayak Temple,Mumbai,2010,8,6,1,0,Sunny,18518
Siddhivinayak Temple,Mumbai,2010,8,7,1,0,Light Rain,14454
Siddhivinayak Temple,Mumbai,2010,8,8,1,0,Cloudy,13530
Siddhivinayak Temple,Mumbai,2010,8,9,1,0,Humid,15062
Siddhivinayak Temple,Mumbai,2010,8,10,1,0,Sunny,18469
Siddhivinayak Temple,Mumbai,2010,8,11,1,0,Sunny,21339
Siddhivinayak Temple,Mumbai,2010,8,12,1,0,Sunny,19925
Siddhivinayak Temple,Mumbai,2010,8,13,1,0,Cloudy,20195
Siddhivinayak Temple,Mumbai,2010,8,14,1,0,Humid,16755
Siddhivinayak Temple,Mumbai,2010,8,15,1,0,Light Rain,8858
Siddhivinayak Temple,Mumbai,2010,8,16,1,0,Sunny,11695
Siddhivinayak Temple,Mumbai,2010,8,17,1,0,Light Rain,13401
Siddhivinayak Temple,Mumbai,2010,8,18,1,0,Heavy Rain,18686
Siddhivinayak Temple,Mumbai,2010,8,19,1,0,Light Rain,66590
Siddhivinayak Temple,Mumbai,2010,8,20,1,0,Cloudy,82697
Siddhivinayak Temple,Mumbai,2010,8,21,1,0,Light Rain,29453
Siddhivinayak Temple,Mumbai,2010,8,22,1,0,Sunny,78340
Siddhivinayak Temple,Mumbai,2010,8,23,1,0,Heavy Rain,23018
Siddhivinayak Temple,Mumbai,2010,9,0,0,0,Humid,7736
Siddhivinayak Temple,Mumbai,2010,9,1,0,0,Humid,4947
Siddhivinayak Temple,Mumbai,2010,9,2,0,0,Light Rain,3078
Siddhivinayak Temple,Mumbai,2010,9,3,0,0,Humid,2340
Siddhivinayak Temple,Mumbai,2010,9,4,0,0,Sunny,5374
Siddhivinayak Temple,Mumbai,2010,9,5,0,0,Sunny,2208
Siddhivinayak Temple,Mumbai,2010,9,6,0,0,Humid,10484
Siddhivinayak Temple,Mumbai,2010,9,7,0,0,Sunny,14844
Siddhivinayak Temple,Mumbai,2010,9,8,0,0,Heavy Rain,3864
Siddhivinayak Temple,Mumbai,2010,9,9,0,0,Cloudy,14614
Siddhivinayak Temple,Mumbai,2010,9,10,0,0,Light Rain,6083
Siddhivinayak Temple,Mumbai,2010,9,11,0,0,Heavy Rain,3708
Siddhivinayak Temple,Mumbai,2010,9,12,0,0,Cloudy,13114
Siddhivinayak Temple,Mumbai,2010,9,13,0,0,Sunny,10998
Siddhivinayak Temple,Mumbai,2010,9,14,0,0,Heavy Rain,5745
Siddhivinayak Temple,Mumbai,2010,9,15,0,0,Sunny,8029
Siddhivinayak Temple,Mumbai,2010,9,16,0,0,Sunny,10772
Siddhivinayak Temple,Mumbai,2010,9,17,0,0,Sunny,11880
Siddhivinayak Temple,Mumbai,2010,9,18,0,0,Heavy Rain,21526
Siddhivinayak Temple,Mumbai,2010,9,19,0,0,Heavy Rain,13890
Siddhivinayak Temple,Mumbai,2010,9,20,0,0,Heavy Rain,11856
Siddhivinayak Temple,Mumbai,2010,9,21,0,0,Heavy Rain,11532
Siddhivinayak Temple,Mumbai,2010,9,22,0,0,Cloudy,24079
Siddhivinayak Temple,Mumbai,2010,9,23,0,0,Humid,47052
Siddhivinayak Temple,Mumbai,2010,10,0,0,1,Humid,10971
Siddhivinayak Temple,Mumbai,2010,10,1,0,1,Humid,4193
Siddhivinayak Temple,Mumbai,2010,10,2,0,1,Sunny,4666
Siddhivinayak Temple,Mumbai,2010,10,3,0,1,Sunny,3967
Siddhivinayak Temple,Mumbai,2010,10,4,0,1,Humid,2457
Siddhivinayak Temple,Mumbai,2010,10,5,0,1,Cloudy,2085
Siddhivinayak Temple,Mumbai,2010,10,6,0,1,Heavy Rain,4923
Siddhivinayak Temple,Mumbai,2010,10,7,0,1,Humid,9080
Siddhivinayak Temple,Mumbai,2010,10,8,0,1,Sunny,13108
Siddhivinayak Temple,Mumbai,2010,10,9,0,1,Cloudy,13453
Siddhivinayak Temple,Mumbai,2010,10,10,0,1,Cloudy,13318
Siddhivinayak Temple,Mumbai,2010,10,11,0,1,Light Rain,9802
Siddhivinayak Temple,Mumbai,2010,10,12,0,1,Cloudy,9741
Siddhivinayak Temple,Mumbai,2010,10,13,0,1,Light Rain,7304
Siddhivinayak Temple,Mumbai,2010,10,14,0,1,Humid,9588
Siddhivinayak Temple,Mumbai,2010,10,15,0,1,Humid,14993
Siddhivinayak Temple,Mumbai,2010,10,16,0,1,Humid,8933
Siddhivinayak Temple,Mumbai,2010,10,17,0,1,Sunny,8366
Siddhivinayak Temple,Mumbai,2010,10,18,0,1,Cloudy,39049
Siddhivinayak Temple,Mumbai,2010,10,19,0,1,Sunny,41210
Siddhivinayak Temple,Mumbai,2010,10,20,0,1,Cloudy,33351
Siddhivinayak Temple,Mumbai,2010,10,21,0,1,Cloudy,30656
Siddhivinayak Temple,Mumbai,2010,10,22,0,1,Cloudy,27959
Siddhivinayak Temple,Mumbai,2010,10,23,0,1,Cloudy,28089
Siddhivinayak Temple,Mumbai,2010,11,0,0,1,Light Rain,21913
Siddhivinayak Temple,Mumbai,2010,11,1,0,1,Light Rain,10934
Siddhivinayak Temple,Mumbai,2010,11,2,0,1,Heavy Rain,5057
Siddhivinayak Temple,Mumbai,2010,11,3,0,1,Humid,17128
Siddhivinayak Temple,Mumbai,2010,11,4,0,1,Humid,8033
Siddhivinayak Temple,Mumbai,2010,11,5,0,1,Humid,12759
Siddhivinayak Temple,Mumbai,2010,11,6,0,1,Sunny,40726
Siddhivinayak Temple,Mumbai,2010,11,7,0,1,Humid,38994
Siddhivinayak Temple,Mumbai,2010,11,8,0,1,Light Rain,31609
Siddhivinayak Temple,Mumbai,2010,11,9,0,1,Light Rain,21549
Siddhivinayak Temple,Mumbai,2010,11,10,0,1,Cloudy,54907
Siddhivinayak Temple,Mumbai,2010,11,11,0,1,Cloudy,50604
Siddhivinayak Temple,Mumbai,2010,11,12,0,1,Sunny,33532
Siddhivinayak Temple,Mumbai,2010,11,13,0,1,Heavy Rain,21437
Siddhivinayak Temple,Mumbai,2010,11,14,0,1,Cloudy,57115
Siddhivinayak Temple,Mumbai,2010,11,15,0,1,Heavy Rain,12295
Siddhivinayak Temple,Mumbai,2010,11,16,0,1,Heavy Rain,11163
Siddhivinayak Temple,Mumbai,2010,11,17,0,1,Heavy Rain,12985
Siddhivinayak Temple,Mumbai,2010,11,18,0,1,Light Rain,64381
Siddhivinayak Temple,Mumbai,2010,11,19,0,1,Heavy Rain,53207
Siddhivinayak Temple,Mumbai,2010,11,20,0,1,Heavy Rain,68962
Siddhivinayak Temple,Mumbai,2010,11,21,0,1,Humid,261106
Siddhivinayak Temple,Mumbai,2010,11,22,0,1,Humid,203707
Siddhivinayak Temple,Mumbai,2010,11,23,0,1,Heavy Rain,64656
Siddhivinayak Temple,Mumbai,2011,1,0,0,1,Light Rain,24486
Siddhivinayak Temple,Mumbai,2011,1,1,0,1,Humid,7205
Siddhivinayak Temple,Mumbai,2011,1,2,0,1,Light Rain,5893
Siddhivinayak Temple,Mumbai,2011,1,3,0,1,Cloudy,4081
Siddhivinayak Temple,Mumbai,2011,1,4,0,1,Heavy Rain,5330
Siddhivinayak Temple,Mumbai,2011,1,5,0,1,Heavy Rain,1589
Siddhivinayak Temple,Mumbai,2011,1,6,0,1,Sunny,24672
Siddhivinayak Temple,Mumbai,2011,1,7,0,1,Sunny,30941
Siddhivinayak Temple,Mumbai,2011,1,8,0,1,Heavy Rain,9221
Siddhivinayak Temple,Mumbai,2011,1,9,0,1,Light Rain,18990
Siddhivinayak Temple,Mumbai,2011,1,10,0,1,Sunny,30026
Siddhivinayak Temple,Mumbai,2011,1,11,0,1,Sunny,19117
Siddhivinayak Temple,Mumbai,2011,1,12,0,1,Cloudy,41906
Siddhivinayak Temple,Mumbai,2011,1,13,0,1,Heavy Rain,10055
Siddhivinayak Temple,Mumbai,2011,1,14,0,1,Heavy Rain,11452
Siddhivinayak Temple,Mumbai,2011,1,15,0,1,Humid,22618
Siddhivinayak Temple,Mumbai,2011,1,16,0,1,Cloudy,24826
Siddhivinayak Temple,Mumbai,2011,1,17,0,1,Heavy Rain,13008
Siddhivinayak Temple,Mumbai,2011,1,18,0,1,Humid,73811
Siddhivinayak Temple,Mumbai,2011,1,19,0,1,Light Rain,76604
Siddhivinayak Temple,Mumbai,2011,1,20,0,1,Light Rain,66182
Siddhivinayak Temple,Mumbai,2011,1,21,0,1,Heavy Rain,47322
Siddhivinayak Temple,Mumbai,2011,1,22,0,1,Humid,148268
Siddhivinayak Temple,Mumbai,2011,1,23,0,1,Humid,88384
Siddhivinayak Temple,Mumbai,2011,2,0,0,0,Humid,15249
Siddhivinayak Temple,Mumbai,2011,2,1,0,0,Light Rain,1118
Siddhivinayak Temple,Mumbai,2011,2,2,0,0,Heavy Rain,1236
Siddhivinayak Temple,Mumbai,2011,2,3,0,0,Humid,1553
Siddhivinayak Temple,Mumbai,2011,2,4,0,0,Sunny,1436
Siddhivinayak Temple,Mumbai,2011,2,5,0,0,Heavy Rain,1868
Siddhivinayak Temple,Mumbai,2011,2,6,0,0,Sunny,13319
Siddhivinayak Temple,Mumbai,2011,2,7,0,0,Sunny,15419
Siddhivinayak Temple,Mumbai,2011,2,8,0,0,Heavy Rain,4602
Siddhivinayak Temple,Mumbai,2011,2,9,0,0,Light Rain,7328
Siddhivinayak Temple,Mumbai,2011,2,10,0,0,Light Rain,10579
Siddhivinayak Temple,Mumbai,2011,2,11,0,0,Humid,10296
Siddhivinayak Temple,Mumbai,2011,2,12,0,0,Cloudy,14756
Siddhivinayak Temple,Mumbai,2011,2,13,0,0,Humid,8487
Siddhivinayak Temple,Mumbai,2011,2,14,0,0,Light Rain,9573
Siddhivinayak Temple,Mumbai,2011,2,15,0,0,Sunny,15124
Siddhivinayak Temple,Mumbai,2011,2,16,0,0,Humid,12596
Siddhivinayak Temple,Mumbai,2011,2,17,0,0,Heavy Rain,4340
Siddhivinayak Temple,Mumbai,2011,2,18,0,0,Heavy Rain,21036
Siddhivinayak Temple,Mumbai,2011,2,19,0,0,Heavy Rain,17477
Siddhivinayak Temple,Mumbai,2011,2,20,0,0,Light Rain,23381
Siddhivinayak Temple,Mumbai,2011,2,21,0,0,Light Rain,35097
Siddhivinayak Temple,Mumbai,2011,2,22,0,0,Humid,25504
Siddhivinayak Temple,Mumbai,2011,2,23,0,0,Light Rain,24728
Siddhivinayak Temple,Mumbai,2011,3,0,0,0,Humid,11479
Siddhivinayak Temple,Mumbai,2011,3,1,0,0,Heavy Rain,859
Siddhivinayak Temple,Mumbai,2011,3,2,0,0,Sunny,3140
Siddhivinayak Temple,Mumbai,2011,3,3,0,0,Sunny,5149
Siddhivinayak Temple,Mumbai,2011,3,4,0,0,Sunny,2526
Siddhivinayak Temple,Mumbai,2011,3,5,0,0,Sunny,3854
Siddhivinayak Temple,Mumbai,2011,3,6,0,0,Light Rain,8378
Siddhivinayak Temple,Mumbai,2011,3,7,0,0,Cloudy,14608
Siddhivinayak Temple,Mumbai,2011,3,8,0,0,Heavy Rain,4490
Siddhivinayak Temple,Mumbai,2011,3,9,0,0,Heavy Rain,4934
Siddhivinayak Temple,Mumbai,2011,3,10,0,0,Heavy Rain,3334
Siddhivinayak Temple,Mumbai,2011,3,11,0,0,Cloudy,11310
Siddhivinayak Temple,Mumbai,2011,3,12,0,0,Heavy Rain,3829
Siddhivinayak Temple,Mumbai,2011,3,13,0,0,Sunny,13297
Siddhivinayak Temple,Mumbai,2011,3,14,0,0,Heavy Rain,6477
Siddhivinayak Temple,Mumbai,2011,3,15,0,0,Sunny,15580
Siddhivinayak Temple,Mumbai,2011,3,16,0,0,Heavy Rain,3343
Siddhivinayak Temple,Mumbai,2011,3,17,0,0,Humid,16021
Siddhivinayak Temple,Mumbai,2011,3,18,0,0,Cloudy,33329
Siddhivinayak Temple,Mumbai,2011,3,19,0,0,Sunny,27751
Siddhivinayak Temple,Mumbai,2011,3,20,0,0,Heavy Rain,9915
Siddhivinayak Temple,Mumbai,2011,3,21,0,0,Light Rain,22345
Siddhivinayak Temple,Mumbai,2011,3,22,0,0,Light Rain,34508
Siddhivinayak Temple,Mumbai,2011,3,23,0,0,Cloudy,40136
Siddhivinayak Temple,Mumbai,2011,4,0,0,0,Cloudy,11390
Siddhivinayak Temple,Mumbai,2011,4,1,0,0,Heavy Rain,1093
Siddhivinayak Temple,Mumbai,2011,4,2,0,0,Humid,2515
Siddhivinayak Temple,Mumbai,2011,4,3,0,0,Heavy Rain,1917
Siddhivinayak Temple,Mumbai,2011,4,4,0,0,Sunny,2999
Siddhivinayak Temple,Mumbai,2011,4,5,0,0,Humid,2976
Siddhivinayak Temple,Mumbai,2011,4,6,0,0,Light Rain,6349
Siddhivinayak Temple,Mumbai,2011,4,7,0,0,Cloudy,8329
Siddhivinayak Temple,Mumbai,2011,4,8,0,0,Sunny,12261
Siddhivinayak Temple,Mumbai,2011,4,9,0,0,Cloudy,8205
Siddhivinayak Temple,Mumbai,2011,4,10,0,0,Sunny,14854
Siddhivinayak Temple,Mumbai,2011,4,11,0,0,Cloudy,15100
Siddhivinayak Temple,Mumbai,2011,4,12,0,0,Light Rain,11284
Siddhivinayak Temple,Mumbai,2011,4,13,0,0,Light Rain,9636
Siddhivinayak Temple,Mumbai,2011,4,14,0,0,Light Rain,8951
Siddhivinayak Temple,Mumbai,2011,4,15,0,0,Sunny,15702
Siddhivinayak Temple,Mumbai,2011,4,16,0,0,Humid,9824
Siddhivinayak Temple,Mumbai,2011,4,17,0,0,Light Rain,8078
Siddhivinayak Temple,Mumbai,2011,4,18,0,0,Light Rain,21657
Siddhivinayak Temple,Mumbai,2011,4,19,0,0,Sunny,43039
Siddhivinayak Temple,Mumbai,2011,4,20,0,0,Sunny,43560
Siddhivinayak Temple,Mumbai,2011,4,21,0,0,Humid,36157
Siddhivinayak Temple,Mumbai,2011,4,22,0,0,Cloudy,34047
Siddhivinayak Temple,Mumbai,2011,4,23,0,0,Heavy Rain,21649
Siddhivinayak Temple,Mumbai,2011,5,0,0,1,Sunny,11621
Siddhivinayak Temple,Mumbai,2011,5,1,0,1,Humid,2657
Siddhivinayak Temple,Mumbai,2011,5,2,0,1,Humid,1709
Siddhivinayak Temple,Mumbai,2011,5,3,0,1,Light Rain,2025
Siddhivinayak Temple,Mumbai,2011,5,4,0,1,Humid,1810
Siddhivinayak Temple,Mumbai,2011,5,5,0,1,Cloudy,6184
Siddhivinayak Temple,Mumbai,2011,5,6,0,1,Cloudy,14539
