mandal_name,city,year,day_of_festival,hour_of_day,holiday_flag,special_event_flag,weather,volunteers_on_duty,headcount
Koradi Devi Temple,Nagpur,2015,2,15,1,0,Heavy Rain,66,4330
Koradi Devi Temple,Nagpur,2015,2,16,1,0,Heavy Rain,39,4479
Koradi Devi Temple,Nagpur,2015,2,17,1,0,Pleasant,54,7342
Koradi Devi Temple,Nagpur,2015,2,18,1,0,Pleasant,75,12824
Koradi Devi Temple,Nagpur,2015,2,19,1,0,Light Rain,31,14187
Koradi Devi Temple,Nagpur,2015,2,20,1,0,Pleasant,75,27707
Koradi Devi Temple,Nagpur,2015,2,21,1,0,Sunny,43,38713
Koradi Devi Temple,Nagpur,2015,2,22,1,0,Light Rain,67,18562
Koradi Devi Temple,Nagpur,2015,2,23,1,0,Sunny,78,27070
Koradi Devi Temple,Nagpur,2015,3,0,1,0,Cloudy,65,9202
Koradi Devi Temple,Nagpur,2015,3,1,0,0,Sunny,72,2288
Koradi Devi Temple,Nagpur,2015,3,2,0,0,Pleasant,32,2318
Koradi Devi Temple,Nagpur,2015,3,3,0,0,Cloudy,63,1685
Koradi Devi Temple,Nagpur,2015,3,4,0,0,Light Rain,64,2439
Koradi Devi Temple,Nagpur,2015,3,5,0,0,Light Rain,39,2578
Koradi Devi Temple,Nagpur,2015,3,6,0,0,Light Rain,31,3658
Koradi Devi Temple,Nagpur,2015,3,7,0,0,Pleasant,31,3916
Koradi Devi Temple,Nagpur,2015,3,8,0,0,Pleasant,38,5887
Koradi Devi Temple,Nagpur,2015,3,9,0,0,Heavy Rain,57,2098
Koradi Devi Temple,Nagpur,2015,3,10,0,0,Cloudy,47,7100
Koradi Devi Temple,Nagpur,2015,3,11,1,0,Light Rain,52,6643
Koradi Devi Temple,Nagpur,2015,3,12,0,0,Light Rain,65,5553
Koradi Devi Temple,Nagpur,2015,3,13,1,0,Sunny,73,20261
Koradi Devi Temple,Nagpur,2015,3,14,0,0,Pleasant,46,8461
Koradi Devi Temple,Nagpur,2015,3,15,0,0,Sunny,75,8899
Koradi Devi Temple,Nagpur,2015,3,16,0,0,Heavy Rain,35,3956
Koradi Devi Temple,Nagpur,2015,3,17,0,0,Sunny,38,5777
Koradi Devi Temple,Nagpur,2015,3,18,0,0,Heavy Rain,48,8905
Koradi Devi Temple,Nagpur,2015,3,19,0,0,Sunny,74,13672
Koradi Devi Temple,Nagpur,2015,3,20,0,0,Sunny,37,10309
Koradi Devi Temple,Nagpur,2015,3,21,0,0,Pleasant,35,17089
Koradi Devi Temple,Nagpur,2015,3,22,0,0,Sunny,37,19281
Koradi Devi Temple,Nagpur,2015,3,23,0,0,Heavy Rain,42,6194
Koradi Devi Temple,Nagpur,2015,4,0,0,0,Pleasant,41,6355
Koradi Devi Temple,Nagpur,2015,4,1,0,0,Sunny,57,3317
Koradi Devi Temple,Nagpur,2015,4,2,0,0,Cloudy,78,1869
Koradi Devi Temple,Nagpur,2015,4,3,0,0,Sunny,63,3075
Koradi Devi Temple,Nagpur,2015,4,4,0,0,Sunny,36,3033
Koradi Devi Temple,Nagpur,2015,4,5,0,0,Cloudy,77,1515
Koradi Devi Temple,Nagpur,2015,4,6,0,0,Heavy Rain,66,1638
Koradi Devi Temple,Nagpur,2015,4,7,0,0,Pleasant,40,4030
Koradi Devi Temple,Nagpur,2015,4,8,0,0,Pleasant,77,6434
Koradi Devi Temple,Nagpur,2015,4,9,0,0,Light Rain,55,4360
Koradi Devi Temple,Nagpur,2015,4,10,0,0,Light Rain,67,4290
Koradi Devi Temple,Nagpur,2015,4,11,0,0,Cloudy,47,6001
Koradi Devi Temple,Nagpur,2015,4,12,0,0,Pleasant,50,5609
Koradi Devi Temple,Nagpur,2015,4,13,0,0,Cloudy,32,5517
Koradi Devi Temple,Nagpur,2015,4,14,0,0,Light Rain,69,8040
Koradi Devi Temple,Nagpur,2015,4,15,0,0,Sunny,55,6070
Koradi Devi Temple,Nagpur,2015,4,16,0,0,Sunny,35,8558
Koradi Devi Temple,Nagpur,2015,4,17,0,0,Cloudy,33,5617
Koradi Devi Temple,Nagpur,2015,4,18,0,0,Sunny,71,17748
Koradi Devi Temple,Nagpur,2015,4,19,0,0,Sunny,57,17792
Koradi Devi Temple,Nagpur,2015,4,20,0,0,Sunny,66,23361
Koradi Devi Temple,Nagpur,2015,4,21,0,0,Heavy Rain,63,6506
Koradi Devi Temple,Nagpur,2015,4,22,0,0,Heavy Rain,47,5369
Koradi Devi Temple,Nagpur,2015,4,23,0,0,Pleasant,30,15690
Koradi Devi Temple,Nagpur,2015,5,0,0,0,Sunny,80,6173
Koradi Devi Temple,Nagpur,2015,5,1,1,0,Heavy Rain,51,2182
Koradi Devi Temple,Nagpur,2015,5,2,0,0,Pleasant,59,1599
Koradi Devi Temple,Nagpur,2015,5,3,0,0,Light Rain,61,1849
Koradi Devi Temple,Nagpur,2015,5,4,0,0,Light Rain,74,1286
Koradi Devi Temple,Nagpur,2015,5,5,0,0,Light Rain,40,2769
Koradi Devi Temple,Nagpur,2015,5,6,0,0,Light Rain,59,3552
Koradi Devi Temple,Nagpur,2015,5,7,1,0,Sunny,41,16088
Koradi Devi Temple,Nagpur,2015,5,8,0,0,Pleasant,61,3368
Koradi Devi Temple,Nagpur,2015,5,9,0,0,Light Rain,30,4785
Koradi Devi Temple,Nagpur,2015,5,10,0,0,Heavy Rain,79,2326
Koradi Devi Temple,Nagpur,2015,5,11,1,0,Pleasant,33,7275
Koradi Devi Temple,Nagpur,2015,5,12,0,0,Light Rain,63,8056
Koradi Devi Temple,Nagpur,2015,5,13,1,0,Heavy Rain,60,6252
Koradi Devi Temple,Nagpur,2015,5,14,0,0,Light Rain,54,5085
Koradi Devi Temple,Nagpur,2015,5,15,1,0,Sunny,79,11234
Koradi Devi Temple,Nagpur,2015,5,16,1,0,Light Rain,67,4582
Koradi Devi Temple,Nagpur,2015,5,17,0,0,Cloudy,43,5988
Koradi Devi Temple,Nagpur,2015,5,18,0,0,Pleasant,41,12496
Koradi Devi Temple,Nagpur,2015,5,19,0,0,Heavy Rain,49,6785
Koradi Devi Temple,Nagpur,2015,5,20,0,0,Pleasant,65,11052
Koradi Devi Temple,Nagpur,2015,5,21,0,0,Cloudy,41,16702
Koradi Devi Temple,Nagpur,2015,5,22,0,0,Pleasant,63,12959
Koradi Devi Temple,Nagpur,2015,5,23,0,0,Light Rain,32,16967
Koradi Devi Temple,Nagpur,2015,6,0,0,0,Cloudy,73,7251
Koradi Devi Temple,Nagpur,2015,6,1,0,0,Sunny,52,1719
Koradi Devi Temple,Nagpur,2015,6,2,0,0,Cloudy,47,1695
Koradi Devi Temple,Nagpur,2015,6,3,0,0,Sunny,56,1714
Koradi Devi Temple,Nagpur,2015,6,4,0,0,Cloudy,51,1212
Koradi Devi Temple,Nagpur,2015,6,5,0,0,Heavy Rain,55,1148
Koradi Devi Temple,Nagpur,2015,6,6,0,0,Cloudy,52,5100
Koradi Devi Temple,Nagpur,2015,6,7,0,0,Light Rain,35,4158
Koradi Devi Temple,Nagpur,2015,6,8,0,0,Cloudy,51,3566
Koradi Devi Temple,Nagpur,2015,6,9,1,0,Heavy Rain,77,5685
Koradi Devi Temple,Nagpur,2015,6,10,0,0,Pleasant,32,4701
Koradi Devi Temple,Nagpur,2015,6,11,0,0,Heavy Rain,70,4104
Koradi Devi Temple,Nagpur,2015,6,12,0,0,Pleasant,33,9472
Koradi Devi Temple,Nagpur,2015,6,13,0,0,Heavy Rain,63,2498
Koradi Devi Temple,Nagpur,2015,6,14,0,0,Heavy Rain,42,3842
Koradi Devi Temple,Nagpur,2015,6,15,0,0,Cloudy,30,5895
Koradi Devi Temple,Nagpur,2015,6,16,0,0,Cloudy,52,4627
Koradi Devi Temple,Nagpur,2015,6,17,0,0,Light Rain,37,2450
Koradi Devi Temple,Nagpur,2015,6,18,1,0,Heavy Rain,45,9817
Koradi Devi Temple,Nagpur,2015,6,19,0,0,Pleasant,52,12855
Koradi Devi Temple,Nagpur,2015,6,20,0,0,Heavy Rain,43,5274
Koradi Devi Temple,Nagpur,2015,6,21,0,0,Pleasant,41,14909
Koradi Devi Temple,Nagpur,2015,6,22,0,0,Cloudy,50,9225
Koradi Devi Temple,Nagpur,2015,6,23,0,0,Heavy Rain,53,4728
Koradi Devi Temple,Nagpur,2015,7,0,0,0,Sunny,56,8463
Koradi Devi Temple,Nagpur,2015,7,1,0,0,Heavy Rain,56,604
Koradi Devi Temple,Nagpur,2015,7,2,0,0,Light Rain,73,1187
Koradi Devi Temple,Nagpur,2015,7,3,0,0,Pleasant,50,2693
Koradi Devi Temple,Nagpur,2015,7,4,0,0,Heavy Rain,43,969
Koradi Devi Temple,Nagpur,2015,7,5,0,0,Cloudy,33,1409
Koradi Devi Temple,Nagpur,2015,7,6,0,0,Cloudy,70,5710
Koradi Devi Temple,Nagpur,2015,7,7,0,0,Pleasant,57,3877
Koradi Devi Temple,Nagpur,2015,7,8,0,0,Cloudy,37,3624
Koradi Devi Temple,Nagpur,2015,7,9,0,0,Light Rain,69,6147
Koradi Devi Temple,Nagpur,2015,7,10,0,0,Cloudy,47,5080
Koradi Devi Temple,Nagpur,2015,7,11,0,0,Heavy Rain,69,3774
Koradi Devi Temple,Nagpur,2015,7,12,0,0,Heavy Rain,54,2481
Koradi Devi Temple,Nagpur,2015,7,13,0,0,Light Rain,77,6123
Koradi Devi Temple,Nagpur,2015,7,14,0,0,Pleasant,68,8325
Koradi Devi Temple,Nagpur,2015,7,15,0,0,Sunny,38,10633
Koradi Devi Temple,Nagpur,2015,7,16,0,0,Cloudy,38,9192
Koradi Devi Temple,Nagpur,2015,7,17,0,0,Sunny,58,4250
Koradi Devi Temple,Nagpur,2015,7,18,0,0,Heavy Rain,57,10190
Koradi Devi Temple,Nagpur,2015,7,19,0,0,Pleasant,55,18530
Koradi Devi Temple,Nagpur,2015,7,20,0,0,Heavy Rain,69,6548
Koradi Devi Temple,Nagpur,2015,7,21,0,0,Heavy Rain,64,8399
Koradi Devi Temple,Nagpur,2015,7,22,0,0,Heavy Rain,73,8188
Koradi Devi Temple,Nagpur,2015,7,23,0,0,Pleasant,44,12205
Koradi Devi Temple,Nagpur,2015,8,0,1,1,Pleasant,36,7830
Koradi Devi Temple,Nagpur,2015,8,1,1,1,Cloudy,30,4154
Koradi Devi Temple,Nagpur,2015,8,2,1,1,Sunny,59,6671
Koradi Devi Temple,Nagpur,2015,8,3,1,1,Heavy Rain,68,2455
Koradi Devi Temple,Nagpur,2015,8,4,1,1,Cloudy,73,8789
Koradi Devi Temple,Nagpur,2015,8,5,1,1,Cloudy,43,3860
Koradi Devi Temple,Nagpur,2015,8,6,1,1,Light Rain,80,10431
Koradi Devi Temple,Nagpur,2015,8,7,1,1,Light Rain,32,20289
Koradi Devi Temple,Nagpur,2015,8,8,1,1,Pleasant,34,18377
Koradi Devi Temple,Nagpur,2015,8,9,1,1,Heavy Rain,75,6172
Koradi Devi Temple,Nagpur,2015,8,10,1,1,Pleasant,50,15724
Koradi Devi Temple,Nagpur,2015,8,11,1,1,Light Rain,56,15031
Koradi Devi Temple,Nagpur,2015,8,12,1,1,Heavy Rain,41,18197
Koradi Devi Temple,Nagpur,2015,8,13,1,1,Pleasant,33,8361
Koradi Devi Temple,Nagpur,2015,8,14,1,1,Light Rain,37,13031
Koradi Devi Temple,Nagpur,2015,8,15,1,1,Sunny,74,22470
Koradi Devi Temple,Nagpur,2015,8,16,1,1,Light Rain,66,19803
Koradi Devi Temple,Nagpur,2015,8,17,1,1,Pleasant,75,19914
Koradi Devi Temple,Nagpur,2015,8,18,1,1,Pleasant,67,44619
Koradi Devi Temple,Nagpur,2015,8,19,1,1,Pleasant,70,89622
Koradi Devi Temple,Nagpur,2015,8,20,1,1,Sunny,49,31682
Koradi Devi Temple,Nagpur,2015,8,21,1,1,Heavy Rain,45,18088
Koradi Devi Temple,Nagpur,2015,8,22,1,1,Sunny,67,43655
Koradi Devi Temple,Nagpur,2015,8,23,1,1,Pleasant,73,46091
Koradi Devi Temple,Nagpur,2015,9,0,1,1,Pleasant,78,20631
Koradi Devi Temple,Nagpur,2015,9,1,1,1,Heavy Rain,32,3750
Koradi Devi Temple,Nagpur,2015,9,2,1,1,Heavy Rain,34,2123
Koradi Devi Temple,Nagpur,2015,9,3,1,1,Light Rain,76,3365
Koradi Devi Temple,Nagpur,2015,9,4,1,1,Cloudy,48,4414
Koradi Devi Temple,Nagpur,2015,9,5,1,1,Light Rain,74,3804
Koradi Devi Temple,Nagpur,2015,9,6,1,1,Light Rain,80,19200
Koradi Devi Temple,Nagpur,2015,9,7,1,1,Pleasant,32,27155
Koradi Devi Temple,Nagpur,2015,9,8,1,1,Light Rain,53,27901
Koradi Devi Temple,Nagpur,2015,9,9,1,1,Pleasant,30,15915
Koradi Devi Temple,Nagpur,2015,9,10,1,1,Sunny,42,23175
Koradi Devi Temple,Nagpur,2015,9,11,1,1,Cloudy,73,24994
Koradi Devi Temple,Nagpur,2015,9,12,1,1,Heavy Rain,53,13943
Koradi Devi Temple,Nagpur,2015,9,13,1,1,Heavy Rain,45,17877
Koradi Devi Temple,Nagpur,2015,9,14,1,1,Cloudy,34,19774
Koradi Devi Temple,Nagpur,2015,9,15,1,1,Pleasant,50,29470
Koradi Devi Temple,Nagpur,2015,9,16,1,1,Sunny,77,31807
Koradi Devi Temple,Nagpur,2015,9,17,1,1,Light Rain,68,19068
Koradi Devi Temple,Nagpur,2015,9,18,1,1,Light Rain,49,68014
Koradi Devi Temple,Nagpur,2015,9,19,1,1,Light Rain,46,53336
Koradi Devi Temple,Nagpur,2015,9,20,1,1,Sunny,30,26235
Koradi Devi Temple,Nagpur,2015,9,21,1,1,Cloudy,47,19527
Koradi Devi Temple,Nagpur,2015,9,22,1,1,Sunny,64,71985
Koradi Devi Temple,Nagpur,2015,9,23,1,1,Light Rain,65,29819
Koradi Devi Temple,Nagpur,2016,1,0,0,1,Cloudy,60,7601
Koradi Devi Temple,Nagpur,2016,1,1,0,1,Cloudy,43,2946
Koradi Devi Temple,Nagpur,2016,1,2,0,1,Heavy Rain,45,3574
Koradi Devi Temple,Nagpur,2016,1,3,0,1,Cloudy,35,3787
Koradi Devi Temple,Nagpur,2016,1,4,0,1,Sunny,40,5504
Koradi Devi Temple,Nagpur,2016,1,5,0,1,Sunny,42,2767
Koradi Devi Temple,Nagpur,2016,1,6,0,1,Cloudy,40,16958
Koradi Devi Temple,Nagpur,2016,1,7,0,1,Pleasant,69,10546
Koradi Devi Temple,Nagpur,2016,1,8,0,1,Heavy Rain,45,4092
Koradi Devi Temple,Nagpur,2016,1,9,0,1,Heavy Rain,70,6009
Koradi Devi Temple,Nagpur,2016,1,10,0,1,Sunny,80,18146
Koradi Devi Temple,Nagpur,2016,1,11,1,1,Light Rain,70,15740
Koradi Devi Temple,Nagpur,2016,1,12,0,1,Sunny,59,17808
Koradi Devi Temple,Nagpur,2016,1,13,1,1,Pleasant,59,16400
Koradi Devi Temple,Nagpur,2016,1,14,0,1,Pleasant,59,12510
Koradi Devi Temple,Nagpur,2016,1,15,0,1,Cloudy,35,15410
Koradi Devi Temple,Nagpur,2016,1,16,0,1,Pleasant,51,16953
Koradi Devi Temple,Nagpur,2016,1,17,0,1,Pleasant,46,12772
Koradi Devi Temple,Nagpur,2016,1,18,0,1,Cloudy,39,27004
Koradi Devi Temple,Nagpur,2016,1,19,0,1,Light Rain,48,28086
Koradi Devi Temple,Nagpur,2016,1,20,0,1,Cloudy,61,21975
Koradi Devi Temple,Nagpur,2016,1,21,0,1,Light Rain,77,34143
Koradi Devi Temple,Nagpur,2016,1,22,0,1,Light Rain,66,28263
Koradi Devi Temple,Nagpur,2016,1,23,0,1,Pleasant,79,24837
Koradi Devi Temple,Nagpur,2016,2,0,0,0,Heavy Rain,51,1857
Koradi Devi Temple,Nagpur,2016,2,1,0,0,Heavy Rain,38,731
Koradi Devi Temple,Nagpur,2016,2,2,0,0,Sunny,30,2330
Koradi Devi Temple,Nagpur,2016,2,3,1,0,Sunny,33,3249
Koradi Devi Temple,Nagpur,2016,2,4,0,0,Cloudy,50,2826
Koradi Devi Temple,Nagpur,2016,2,5,0,0,Cloudy,39,2775
Koradi Devi Temple,Nagpur,2016,2,6,0,0,Cloudy,68,7379
Koradi Devi Temple,Nagpur,2016,2,7,1,0,Heavy Rain,72,3857
Koradi Devi Temple,Nagpur,2016,2,8,0,0,Cloudy,47,3935
Koradi Devi Temple,Nagpur,2016,2,9,0,0,Pleasant,51,7728
Koradi Devi Temple,Nagpur,2016,2,10,0,0,Light Rain,58,3144
Koradi Devi Temple,Nagpur,2016,2,11,0,0,Heavy Rain,36,3782
Koradi Devi Temple,Nagpur,2016,2,12,0,0,Heavy Rain,32,3995
Koradi Devi Temple,Nagpur,2016,2,13,0,0,Heavy Rain,33,2695
Koradi Devi Temple,Nagpur,2016,2,14,0,0,Pleasant,60,7668
Koradi Devi Temple,Nagpur,2016,2,15,0,0,Pleasant,39,8163
Koradi Devi Temple,Nagpur,2016,2,16,0,0,Light Rain,61,6249
Koradi Devi Temple,Nagpur,2016,2,17,0,0,Cloudy,79,8208
Koradi Devi Temple,Nagpur,2016,2,18,0,0,Sunny,36,15630
Koradi Devi Temple,Nagpur,2016,2,19,0,0,Light Rain,41,9456
Koradi Devi Temple,Nagpur,2016,2,20,0,0,Pleasant,33,20933
Koradi Devi Temple,Nagpur,2016,2,21,0,0,Heavy Rain,49,7016
Koradi Devi Temple,Nagpur,2016,2,22,0,0,Light Rain,44,8643
Koradi Devi Temple,Nagpur,2016,2,23,0,0,Cloudy,72,22670
Koradi Devi Temple,Nagpur,2016,3,0,0,0,Pleasant,62,7806
Koradi Devi Temple,Nagpur,2016,3,1,0,0,Light Rain,47,928
Koradi Devi Temple,Nagpur,2016,3,2,0,0,Pleasant,77,3559
Koradi Devi Temple,Nagpur,2016,3,3,0,0,Sunny,46,2892
Koradi Devi Temple,Nagpur,2016,3,4,0,0,Cloudy,73,2776
Koradi Devi Temple,Nagpur,2016,3,5,0,0,Pleasant,33,2695
Koradi Devi Temple,Nagpur,2016,3,6,0,0,Light Rain,31,4457
Koradi Devi Temple,Nagpur,2016,3,7,0,0,Cloudy,49,7472
Koradi Devi Temple,Nagpur,2016,3,8,0,0,Sunny,38,7349
Koradi Devi Temple,Nagpur,2016,3,9,0,0,Light Rain,69,6156
Koradi Devi Temple,Nagpur,2016,3,10,0,0,Light Rain,43,6740
Koradi Devi Temple,Nagpur,2016,3,11,0,0,Heavy Rain,57,2793
Koradi Devi Temple,Nagpur,2016,3,12,1,0,Heavy Rain,31,2479
Koradi Devi Temple,Nagpur,2016,3,13,0,0,Sunny,52,8025
Koradi Devi Temple,Nagpur,2016,3,14,0,0,Heavy Rain,56,4288
Koradi Devi Temple,Nagpur,2016,3,15,0,0,Light Rain,63,7632
Koradi Devi Temple,Nagpur,2016,3,16,0,0,Light Rain,41,4614
Koradi Devi Temple,Nagpur,2016,3,17,0,0,Cloudy,68,4196
Koradi Devi Temple,Nagpur,2016,3,18,0,0,Pleasant,58,11518
Koradi Devi Temple,Nagpur,2016,3,19,0,0,Pleasant,80,12799
Koradi Devi Temple,Nagpur,2016,3,20,0,0,Heavy Rain,48,12559
Koradi Devi Temple,Nagpur,2016,3,21,0,0,Pleasant,30,10724
Koradi Devi Temple,Nagpur,2016,3,22,0,0,Pleasant,53,17163
Koradi Devi Temple,Nagpur,2016,3,23,0,0,Heavy Rain,42,10389
Koradi Devi Temple,Nagpur,2016,4,0,0,0,Light Rain,53,4441
Koradi Devi Temple,Nagpur,2016,4,1,0,0,Heavy Rain,64,1045
Koradi Devi Temple,Nagpur,2016,4,2,0,0,Sunny,47,2708
Koradi Devi Temple,Nagpur,2016,4,3,0,0,Cloudy,48,2248
Koradi Devi Temple,Nagpur,2016,4,4,1,0,Light Rain,58,1534
Koradi Devi Temple,Nagpur,2016,4,5,0,0,Light Rain,53,2418
Koradi Devi Temple,Nagpur,2016,4,6,0,0,Pleasant,53,6555
Koradi Devi Temple,Nagpur,2016,4,7,0,0,Sunny,74,6191
Koradi Devi Temple,Nagpur,2016,4,8,0,0,Pleasant,76,5623
Koradi Devi Temple,Nagpur,2016,4,9,1,0,Cloudy,39,6741
Koradi Devi Temple,Nagpur,2016,4,10,0,0,Cloudy,32,6387
Koradi Devi Temple,Nagpur,2016,4,11,0,0,Cloudy,51,10981
Koradi Devi Temple,Nagpur,2016,4,12,0,0,Light Rain,70,4595
Koradi Devi Temple,Nagpur,2016,4,13,0,0,Sunny,70,9832
Koradi Devi Temple,Nagpur,2016,4,14,0,0,Cloudy,42,7906
Koradi Devi Temple,Nagpur,2016,4,15,1,0,Cloudy,46,18473
Koradi Devi Temple,Nagpur,2016,4,16,0,0,Sunny,32,9189
Koradi Devi Temple,Nagpur,2016,4,17,0,0,Sunny,35,9300
Koradi Devi Temple,Nagpur,2016,4,18,0,0,Light Rain,40,10943
Koradi Devi Temple,Nagpur,2016,4,19,0,0,Light Rain,33,10033
Koradi Devi Temple,Nagpur,2016,4,20,0,0,Light Rain,62,11982
Koradi Devi Temple,Nagpur,2016,4,21,1,0,Heavy Rain,58,9968
Koradi Devi Temple,Nagpur,2016,4,22,0,0,Light Rain,65,19227
Koradi Devi Temple,Nagpur,2016,4,23,0,0,Heavy Rain,42,7453
Koradi Devi Temple,Nagpur,2016,5,0,1,0,Cloudy,55,10548
Koradi Devi Temple,Nagpur,2016,5,1,0,0,Light Rain,60,2208
Koradi Devi Temple,Nagpur,2016,5,2,0,0,Pleasant,38,1817
Koradi Devi Temple,Nagpur,2016,5,3,0,0,Heavy Rain,67,865
Koradi Devi Temple,Nagpur,2016,5,4,0,0,Sunny,42,3745
Koradi Devi Temple,Nagpur,2016,5,5,1,0,Cloudy,62,5225
Koradi Devi Temple,Nagpur,2016,5,6,0,0,Cloudy,74,5096
Koradi Devi Temple,Nagpur,2016,5,7,1,0,Pleasant,38,13681
Koradi Devi Temple,Nagpur,2016,5,8,0,0,Light Rain,43,5366
Koradi Devi Temple,Nagpur,2016,5,9,0,0,Pleasant,35,6438
Koradi Devi Temple,Nagpur,2016,5,10,0,0,Heavy Rain,38,3822
Koradi Devi Temple,Nagpur,2016,5,11,0,0,Pleasant,37,6197
Koradi Devi Temple,Nagpur,2016,5,12,1,0,Heavy Rain,32,3257
Koradi Devi Temple,Nagpur,2016,5,13,0,0,Pleasant,31,8499
Koradi Devi Temple,Nagpur,2016,5,14,0,0,Cloudy,66,4583
Koradi Devi Temple,Nagpur,2016,5,15,0,0,Light Rain,77,7375
Koradi Devi Temple,Nagpur,2016,5,16,0,0,Pleasant,65,8085
Koradi Devi Temple,Nagpur,2016,5,17,0,0,Cloudy,42,7322
Koradi Devi Temple,Nagpur,2016,5,18,0,0,Pleasant,42,10421
Koradi Devi Temple,Nagpur,2016,5,19,0,0,Heavy Rain,79,10370
Koradi Devi Temple,Nagpur,2016,5,20,1,0,Sunny,61,29015
Koradi Devi Temple,Nagpur,2016,5,21,0,0,Cloudy,63,10692
Koradi Devi Temple,Nagpur,2016,5,22,0,0,Sunny,78,14193
Koradi Devi Temple,Nagpur,2016,5,23,0,0,Sunny,39,14227
Koradi Devi Temple,Nagpur,2016,6,0,1,0,Heavy Rain,64,3881
Koradi Devi Temple,Nagpur,2016,6,1,1,0,Cloudy,36,2519
Koradi Devi Temple,Nagpur,2016,6,2,1,0,Pleasant,65,2466
Koradi Devi Temple,Nagpur,2016,6,3,1,0,Sunny,54,3456
Koradi Devi Temple,Nagpur,2016,6,4,1,0,Pleasant,51,1400
Koradi Devi Temple,Nagpur,2016,6,5,1,0,Heavy Rain,79,1771
Koradi Devi Temple,Nagpur,2016,6,6,1,0,Heavy Rain,72,5234
Koradi Devi Temple,Nagpur,2016,6,7,1,0,Cloudy,79,8705
Koradi Devi Temple,Nagpur,2016,6,8,1,0,Light Rain,47,8689
Koradi Devi Temple,Nagpur,2016,6,9,1,0,Cloudy,40,5988
Koradi Devi Temple,Nagpur,2016,6,10,1,0,Heavy Rain,32,4449
Koradi Devi Temple,Nagpur,2016,6,11,1,0,Light Rain,34,6960
Koradi Devi Temple,Nagpur,2016,6,12,1,0,Sunny,37,11685
Koradi Devi Temple,Nagpur,2016,6,13,1,0,Pleasant,30,9772
Koradi Devi Temple,Nagpur,2016,6,14,1,0,Heavy Rain,75,5934
Koradi Devi Temple,Nagpur,2016,6,15,1,0,Light Rain,46,12760
Koradi Devi Temple,Nagpur,2016,6,16,1,0,Heavy Rain,36,3373
Koradi Devi Temple,Nagpur,2016,6,17,1,0,Cloudy,37,9004
