temple_name,city,year,month,day_of_month,time_slot,is_weekend_or_holiday,is_special_festival,weather,headcount
Kashi Vishwanath,Varanasi,2010,10,2,22,1,1,Clear,39779
Kashi Vishwanath,Varanasi,2010,10,2,23,1,1,Clear,13560
Kashi Vishwanath,Varanasi,2010,10,3,0,1,1,Foggy,43012
Kashi Vishwanath,Varanasi,2010,10,3,1,1,1,Foggy,36473
Kashi Vishwanath,Varanasi,2010,10,3,2,1,1,Cloudy,34865
Kashi Vishwanath,Varanasi,2010,10,3,3,1,1,Clear,34123
Kashi Vishwanath,Varanasi,2010,10,3,4,1,1,Foggy,33304
Kashi Vishwanath,Varanasi,2010,10,3,5,1,1,Humid,106639
Kashi Vishwanath,Varanasi,2010,10,3,6,1,1,Rain,81952
Kashi Vishwanath,Varanasi,2010,10,3,7,1,1,Clear,97472
Kashi Vishwanath,Varanasi,2010,10,3,8,1,1,Humid,89511
Kashi Vishwanath,Varanasi,2010,10,3,9,1,1,Cloudy,74287
Kashi Vishwanath,Varanasi,2010,10,3,10,1,1,Humid,39709
Kashi Vishwanath,Varanasi,2010,10,3,11,1,1,Humid,40132
Kashi Vishwanath,Varanasi,2010,10,3,12,1,1,Rain,34469
Kashi Vishwanath,Varanasi,2010,10,3,13,1,1,Cloudy,50879
Kashi Vishwanath,Varanasi,2010,10,3,14,1,1,Rain,48968
Kashi Vishwanath,Varanasi,2010,10,3,15,1,1,Foggy,48930
Kashi Vishwanath,Varanasi,2010,10,3,16,1,1,Foggy,53611
Kashi Vishwanath,Varanasi,2010,10,3,17,1,1,Cloudy,20552
Kashi Vishwanath,Varanasi,2010,10,3,18,1,1,Foggy,73179
Kashi Vishwanath,Varanasi,2010,10,3,19,1,1,Rain,69675
Kashi Vishwanath,Varanasi,2010,10,3,20,1,1,Rain,127952
Kashi Vishwanath,Varanasi,2010,10,3,21,1,1,Foggy,146243
Kashi Vishwanath,Varanasi,2010,10,3,22,1,1,Cloudy,87107
Kashi Vishwanath,Varanasi,2010,10,3,23,1,1,Humid,20465
Kashi Vishwanath,Varanasi,2010,10,4,0,0,1,Rain,8692
Kashi Vishwanath,Varanasi,2010,10,4,1,0,1,Cloudy,7525
Kashi Vishwanath,Varanasi,2010,10,4,2,0,1,Foggy,12523
Kashi Vishwanath,Varanasi,2010,10,4,3,0,1,Foggy,10965
Kashi Vishwanath,Varanasi,2010,10,4,4,0,1,Cloudy,14172
Kashi Vishwanath,Varanasi,2010,10,4,5,0,1,Rain,23878
Kashi Vishwanath,Varanasi,2010,10,4,6,0,1,Rain,25025
Kashi Vishwanath,Varanasi,2010,10,4,7,0,1,Cloudy,16303
Kashi Vishwanath,Varanasi,2010,10,4,8,0,1,Humid,26321
Kashi Vishwanath,Varanasi,2010,10,4,9,0,1,Humid,27941
Kashi Vishwanath,Varanasi,2010,10,4,10,0,1,Cloudy,7784
Kashi Vishwanath,Varanasi,2010,10,4,11,0,1,Foggy,7278
Kashi Vishwanath,Varanasi,2010,10,4,12,0,1,Rain,6976
Kashi Vishwanath,Varanasi,2010,10,4,13,0,1,Humid,14226
Kashi Vishwanath,Varanasi,2010,10,4,14,0,1,Foggy,9880
Kashi Vishwanath,Varanasi,2010,10,4,15,0,1,Cloudy,6241
Kashi Vishwanath,Varanasi,2010,10,4,16,0,1,Rain,6459
Kashi Vishwanath,Varanasi,2010,10,4,17,0,1,Humid,11492
Kashi Vishwanath,Varanasi,2010,10,4,18,0,1,Rain,21281
Kashi Vishwanath,Varanasi,2010,10,4,19,0,1,Cloudy,24329
Kashi Vishwanath,Varanasi,2010,10,4,20,0,1,Cloudy,35191
Kashi Vishwanath,Varanasi,2010,10,4,21,0,1,Rain,38679
Kashi Vishwanath,Varanasi,2010,10,4,22,0,1,Foggy,22050
Kashi Vishwanath,Varanasi,2010,10,4,23,0,1,Humid,9818
Kashi Vishwanath,Varanasi,2010,10,5,0,0,1,Foggy,13567
Kashi Vishwanath,Varanasi,2010,10,5,1,0,1,Rain,11645
Kashi Vishwanath,Varanasi,2010,10,5,2,0,1,Cloudy,10842
Kashi Vishwanath,Varanasi,2010,10,5,3,0,1,Rain,12652
Kashi Vishwanath,Varanasi,2010,10,5,4,0,1,Rain,8064
Kashi Vishwanath,Varanasi,2010,10,5,5,0,1,Foggy,24095
Kashi Vishwanath,Varanasi,2010,10,5,6,0,1,Clear,16644
Kashi Vishwanath,Varanasi,2010,10,5,7,0,1,Clear,26324
Kashi Vishwanath,Varanasi,2010,10,5,8,0,1,Rain,16500
Kashi Vishwanath,Varanasi,2010,10,5,9,0,1,Rain,24664
Kashi Vishwanath,Varanasi,2010,10,5,10,0,1,Cloudy,9596
Kashi Vishwanath,Varanasi,2010,10,5,11,0,1,Foggy,7407
Kashi Vishwanath,Varanasi,2010,10,5,12,0,1,Foggy,10535
Kashi Vishwanath,Varanasi,2010,10,5,13,0,1,Clear,14554
Kashi Vishwanath,Varanasi,2010,10,5,14,0,1,Clear,9940
Kashi Vishwanath,Varanasi,2010,10,5,15,0,1,Cloudy,14342
Kashi Vishwanath,Varanasi,2010,10,5,16,0,1,Rain,12902
Kashi Vishwanath,Varanasi,2010,10,5,17,0,1,Clear,11375
Kashi Vishwanath,Varanasi,2010,10,5,18,0,1,Foggy,32399
Kashi Vishwanath,Varanasi,2010,10,5,19,0,1,Humid,33637
Kashi Vishwanath,Varanasi,2010,10,5,20,0,1,Humid,30040
Kashi Vishwanath,Varanasi,2010,10,5,21,0,1,Humid,32658
Kashi Vishwanath,Varanasi,2010,10,5,22,0,1,Foggy,22558
Kashi Vishwanath,Varanasi,2010,10,5,23,0,1,Clear,13736
Kashi Vishwanath,Varanasi,2010,10,6,0,0,1,Humid,10161
Kashi Vishwanath,Varanasi,2010,10,6,1,0,1,Humid,8856
Kashi Vishwanath,Varanasi,2010,10,6,2,0,1,Clear,6997
Kashi Vishwanath,Varanasi,2010,10,6,3,0,1,Foggy,13909
Kashi Vishwanath,Varanasi,2010,10,6,4,0,1,Humid,7196
Kashi Vishwanath,Varanasi,2010,10,6,5,0,1,Humid,13035
Kashi Vishwanath,Varanasi,2010,10,6,6,0,1,Rain,21626
Kashi Vishwanath,Varanasi,2010,10,6,7,0,1,Cloudy,14126
Kashi Vishwanath,Varanasi,2010,10,6,8,0,1,Foggy,13193
Kashi Vishwanath,Varanasi,2010,10,6,9,0,1,Cloudy,22347
Kashi Vishwanath,Varanasi,2010,10,6,10,0,1,Humid,6134
Kashi Vishwanath,Varanasi,2010,10,6,11,0,1,Humid,13076
Kashi Vishwanath,Varanasi,2010,10,6,12,0,1,Cloudy,11207
Kashi Vishwanath,Varanasi,2010,10,6,13,0,1,Cloudy,8844
Kashi Vishwanath,Varanasi,2010,10,6,14,0,1,Rain,13972
Kashi Vishwanath,Varanasi,2010,10,6,15,0,1,Clear,6661
Kashi Vishwanath,Varanasi,2010,10,6,16,0,1,Cloudy,10622
Kashi Vishwanath,Varanasi,2010,10,6,17,0,1,Foggy,10529
Kashi Vishwanath,Varanasi,2010,10,6,18,0,1,Clear,22376
Kashi Vishwanath,Varanasi,2010,10,6,19,0,1,Foggy,51535
Kashi Vishwanath,Varanasi,2010,10,6,20,0,1,Rain,39013
Kashi Vishwanath,Varanasi,2010,10,6,21,0,1,Humid,25970
Kashi Vishwanath,Varanasi,2010,10,6,22,0,1,Clear,16586
Kashi Vishwanath,Varanasi,2010,10,6,23,0,1,Clear,7314
Kashi Vishwanath,Varanasi,2010,10,7,0,0,1,Humid,9800
Kashi Vishwanath,Varanasi,2010,10,7,1,0,1,Rain,9009
Kashi Vishwanath,Varanasi,2010,10,7,2,0,1,Cloudy,8590
Kashi Vishwanath,Varanasi,2010,10,7,3,0,1,Rain,13709
Kashi Vishwanath,Varanasi,2010,10,7,4,0,1,Clear,9803
Kashi Vishwanath,Varanasi,2010,10,7,5,0,1,Foggy,15324
Kashi Vishwanath,Varanasi,2010,10,7,6,0,1,Clear,28720
Kashi Vishwanath,Varanasi,2010,10,7,7,0,1,Foggy,21813
Kashi Vishwanath,Varanasi,2010,10,7,8,0,1,Cloudy,10194
Kashi Vishwanath,Varanasi,2010,10,7,9,0,1,Rain,15421
Kashi Vishwanath,Varanasi,2010,10,7,10,0,1,Rain,7020
Kashi Vishwanath,Varanasi,2010,10,7,11,0,1,Rain,11657
Kashi Vishwanath,Varanasi,2010,10,7,12,0,1,Rain,9653
Kashi Vishwanath,Varanasi,2010,10,7,13,0,1,Rain,9807
Kashi Vishwanath,Varanasi,2010,10,7,14,0,1,Clear,6033
Kashi Vishwanath,Varanasi,2010,10,7,15,0,1,Foggy,7790
Kashi Vishwanath,Varanasi,2010,10,7,16,0,1,Cloudy,12301
Kashi Vishwanath,Varanasi,2010,10,7,17,0,1,Clear,12406
Kashi Vishwanath,Varanasi,2010,10,7,18,0,1,Humid,22257
Kashi Vishwanath,Varanasi,2010,10,7,19,0,1,Cloudy,21700
Kashi Vishwanath,Varanasi,2010,10,7,20,0,1,Cloudy,43711
Kashi Vishwanath,Varanasi,2010,10,7,21,0,1,Foggy,21770
Kashi Vishwanath,Varanasi,2010,10,7,22,0,1,Clear,30892
Kashi Vishwanath,Varanasi,2010,10,7,23,0,1,Rain,13121
Kashi Vishwanath,Varanasi,2010,10,8,0,0,1,Cloudy,31456
Kashi Vishwanath,Varanasi,2010,10,8,1,0,1,Cloudy,38528
Kashi Vishwanath,Varanasi,2010,10,8,2,0,1,Humid,34098
Kashi Vishwanath,Varanasi,2010,10,8,3,0,1,Rain,37789
Kashi Vishwanath,Varanasi,2010,10,8,4,0,1,Rain,27141
Kashi Vishwanath,Varanasi,2010,10,8,5,0,1,Humid,86129
Kashi Vishwanath,Varanasi,2010,10,8,6,0,1,Clear,97495
Kashi Vishwanath,Varanasi,2010,10,8,7,0,1,Clear,88037
Kashi Vishwanath,Varanasi,2010,10,8,8,0,1,Cloudy,47891
Kashi Vishwanath,Varanasi,2010,10,8,9,0,1,Rain,49799
Kashi Vishwanath,Varanasi,2010,10,8,10,0,1,Rain,25438
Kashi Vishwanath,Varanasi,2010,10,8,11,0,1,Rain,24755
Kashi Vishwanath,Varanasi,2010,10,8,12,0,1,Cloudy,50370
Kashi Vishwanath,Varanasi,2010,10,8,13,0,1,Humid,27555
Kashi Vishwanath,Varanasi,2010,10,8,14,0,1,Clear,23982
Kashi Vishwanath,Varanasi,2010,10,8,15,0,1,Rain,46525
Kashi Vishwanath,Varanasi,2010,10,8,16,0,1,Rain,33176
Kashi Vishwanath,Varanasi,2010,10,8,17,0,1,Foggy,57651
Kashi Vishwanath,Varanasi,2010,10,8,18,0,1,Foggy,94127
Kashi Vishwanath,Varanasi,2010,10,8,19,0,1,Rain,125947
Kashi Vishwanath,Varanasi,2010,10,8,20,0,1,Rain,163052
Kashi Vishwanath,Varanasi,2010,10,8,21,0,1,Rain,151841
Kashi Vishwanath,Varanasi,2010,10,8,22,0,1,Cloudy,130106
Kashi Vishwanath,Varanasi,2010,10,8,23,0,1,Foggy,43819
Kashi Vishwanath,Varanasi,2010,10,9,0,1,1,Cloudy,13538
Kashi Vishwanath,Varanasi,2010,10,9,1,1,1,Foggy,13180
Kashi Vishwanath,Varanasi,2010,10,9,2,1,1,Foggy,7889
Kashi Vishwanath,Varanasi,2010,10,9,3,1,1,Cloudy,12498
Kashi Vishwanath,Varanasi,2010,10,9,4,1,1,Rain,12841
Kashi Vishwanath,Varanasi,2010,10,9,5,1,1,Cloudy,17689
Kashi Vishwanath,Varanasi,2010,10,9,6,1,1,Rain,28229
Kashi Vishwanath,Varanasi,2010,10,9,7,1,1,Humid,16604
Kashi Vishwanath,Varanasi,2010,10,9,8,1,1,Cloudy,18958
Kashi Vishwanath,Varanasi,2010,10,9,9,1,1,Humid,22768
Kashi Vishwanath,Varanasi,2010,10,9,10,1,1,Cloudy,10534
Kashi Vishwanath,Varanasi,2010,10,9,11,1,1,Clear,11617
Kashi Vishwanath,Varanasi,2010,10,9,12,1,1,Foggy,11834
Kashi Vishwanath,Varanasi,2010,10,9,13,1,1,Foggy,13091
Kashi Vishwanath,Varanasi,2010,10,9,14,1,1,Clear,13211
Kashi Vishwanath,Varanasi,2010,10,9,15,1,1,Rain,9969
Kashi Vishwanath,Varanasi,2010,10,9,16,1,1,Foggy,14614
Kashi Vishwanath,Varanasi,2010,10,9,17,1,1,Clear,11238
Kashi Vishwanath,Varanasi,2010,10,9,18,1,1,Rain,23859
Kashi Vishwanath,Varanasi,2010,10,9,19,1,1,Humid,26039
Kashi Vishwanath,Varanasi,2010,10,9,20,1,1,Foggy,44871
Kashi Vishwanath,Varanasi,2010,10,9,21,1,1,Foggy,37939
Kashi Vishwanath,Varanasi,2010,10,9,22,1,1,Rain,41876
Kashi Vishwanath,Varanasi,2010,10,9,23,1,1,Rain,12437
Kashi Vishwanath,Varanasi,2011,10,1,0,1,1,Cloudy,6223
Kashi Vishwanath,Varanasi,2011,10,1,1,1,1,Foggy,7995
Kashi Vishwanath,Varanasi,2011,10,1,2,1,1,Cloudy,11291
Kashi Vishwanath,Varanasi,2011,10,1,3,1,1,Cloudy,10718
Kashi Vishwanath,Varanasi,2011,10,1,4,1,1,Cloudy,7489
Kashi Vishwanath,Varanasi,2011,10,1,5,1,1,Cloudy,22186
Kashi Vishwanath,Varanasi,2011,10,1,6,1,1,Cloudy,20760
Kashi Vishwanath,Varanasi,2011,10,1,7,1,1,Cloudy,17779
Kashi Vishwanath,Varanasi,2011,10,1,8,1,1,Clear,20050
Kashi Vishwanath,Varanasi,2011,10,1,9,1,1,Rain,24742
Kashi Vishwanath,Varanasi,2011,10,1,10,1,1,Foggy,10142
Kashi Vishwanath,Varanasi,2011,10,1,11,1,1,Clear,12131
Kashi Vishwanath,Varanasi,2011,10,1,12,1,1,Humid,6268
Kashi Vishwanath,Varanasi,2011,10,1,13,1,1,Humid,12028
Kashi Vishwanath,Varanasi,2011,10,1,14,1,1,Clear,10797
Kashi Vishwanath,Varanasi,2011,10,1,15,1,1,Humid,10872
Kashi Vishwanath,Varanasi,2011,10,1,16,1,1,Cloudy,6306
Kashi Vishwanath,Varanasi,2011,10,1,17,1,1,Foggy,13803
Kashi Vishwanath,Varanasi,2011,10,1,18,1,1,Cloudy,32885
Kashi Vishwanath,Varanasi,2011,10,1,19,1,1,Humid,30927
Kashi Vishwanath,Varanasi,2011,10,1,20,1,1,Rain,28388
Kashi Vishwanath,Varanasi,2011,10,1,21,1,1,Humid,35949
Kashi Vishwanath,Varanasi,2011,10,1,22,1,1,Clear,22768
Kashi Vishwanath,Varanasi,2011,10,1,23,1,1,Clear,8128
Kashi Vishwanath,Varanasi,2011,10,2,0,1,1,Foggy,6401
Kashi Vishwanath,Varanasi,2011,10,2,1,1,1,Foggy,10252
Kashi Vishwanath,Varanasi,2011,10,2,2,1,1,Cloudy,11583
Kashi Vishwanath,Varanasi,2011,10,2,3,1,1,Humid,9634
Kashi Vishwanath,Varanasi,2011,10,2,4,1,1,Rain,9032
Kashi Vishwanath,Varanasi,2011,10,2,5,1,1,Clear,13636
Kashi Vishwanath,Varanasi,2011,10,2,6,1,1,Cloudy,24774
Kashi Vishwanath,Varanasi,2011,10,2,7,1,1,Foggy,20557
Kashi Vishwanath,Varanasi,2011,10,2,8,1,1,Humid,28911
Kashi Vishwanath,Varanasi,2011,10,2,9,1,1,Rain,13822
Kashi Vishwanath,Varanasi,2011,10,2,10,1,1,Rain,8066
Kashi Vishwanath,Varanasi,2011,10,2,11,1,1,Foggy,14839
Kashi Vishwanath,Varanasi,2011,10,2,12,1,1,Clear,6746
Kashi Vishwanath,Varanasi,2011,10,2,13,1,1,Rain,6991
Kashi Vishwanath,Varanasi,2011,10,2,14,1,1,Cloudy,13338
Kashi Vishwanath,Varanasi,2011,10,2,15,1,1,Rain,12083
Kashi Vishwanath,Varanasi,2011,10,2,16,1,1,Clear,13568
Kashi Vishwanath,Varanasi,2011,10,2,17,1,1,Cloudy,12285
Kashi Vishwanath,Varanasi,2011,10,2,18,1,1,Rain,31329
Kashi Vishwanath,Varanasi,2011,10,2,19,1,1,Rain,18409
Kashi Vishwanath,Varanasi,2011,10,2,20,1,1,Cloudy,27011
Kashi Vishwanath,Varanasi,2011,10,2,21,1,1,Foggy,20518
Kashi Vishwanath,Varanasi,2011,10,2,22,1,1,Clear,46835
Kashi Vishwanath,Varanasi,2011,10,2,23,1,1,Clear,8364
Kashi Vishwanath,Varanasi,2011,10,3,0,0,1,Cloudy,27996
Kashi Vishwanath,Varanasi,2011,10,3,1,0,1,Foggy,57037
Kashi Vishwanath,Varanasi,2011,10,3,2,0,1,Cloudy,46226
Kashi Vishwanath,Varanasi,2011,10,3,3,0,1,Humid,45999
Kashi Vishwanath,Varanasi,2011,10,3,4,0,1,Clear,32132
Kashi Vishwanath,Varanasi,2011,10,3,5,0,1,Rain,44432
Kashi Vishwanath,Varanasi,2011,10,3,6,0,1,Clear,56884
Kashi Vishwanath,Varanasi,2011,10,3,7,0,1,Humid,82196
Kashi Vishwanath,Varanasi,2011,10,3,8,0,1,Clear,66990
Kashi Vishwanath,Varanasi,2011,10,3,9,0,1,Foggy,70998
Kashi Vishwanath,Varanasi,2011,10,3,10,0,1,Clear,28505
Kashi Vishwanath,Varanasi,2011,10,3,11,0,1,Foggy,29350
Kashi Vishwanath,Varanasi,2011,10,3,12,0,1,Cloudy,32139
Kashi Vishwanath,Varanasi,2011,10,3,13,0,1,Clear,55699
Kashi Vishwanath,Varanasi,2011,10,3,14,0,1,Cloudy,40345
Kashi Vishwanath,Varanasi,2011,10,3,15,0,1,Cloudy,45348
Kashi Vishwanath,Varanasi,2011,10,3,16,0,1,Clear,41774
Kashi Vishwanath,Varanasi,2011,10,3,17,0,1,Rain,30675
Kashi Vishwanath,Varanasi,2011,10,3,18,0,1,Humid,134694
Kashi Vishwanath,Varanasi,2011,10,3,19,0,1,Clear,81011
Kashi Vishwanath,Varanasi,2011,10,3,20,0,1,Clear,91928
Kashi Vishwanath,Varanasi,2011,10,3,21,0,1,Rain,127474
Kashi Vishwanath,Varanasi,2011,10,3,22,0,1,Foggy,154113
Kashi Vishwanath,Varanasi,2011,10,3,23,0,1,Clear,45343
Kashi Vishwanath,Varanasi,2011,10,4,0,0,1,Humid,11109
Kashi Vishwanath,Varanasi,2011,10,4,1,0,1,Rain,9731
Kashi Vishwanath,Varanasi,2011,10,4,2,0,1,Humid,6471
Kashi Vishwanath,Varanasi,2011,10,4,3,0,1,Humid,7195
Kashi Vishwanath,Varanasi,2011,10,4,4,0,1,Foggy,8184
Kashi Vishwanath,Varanasi,2011,10,4,5,0,1,Cloudy,22345
Kashi Vishwanath,Varanasi,2011,10,4,6,0,1,Humid,13812
Kashi Vishwanath,Varanasi,2011,10,4,7,0,1,Humid,15326
Kashi Vishwanath,Varanasi,2011,10,4,8,0,1,Foggy,20558
Kashi Vishwanath,Varanasi,2011,10,4,9,0,1,Foggy,22807
Kashi Vishwanath,Varanasi,2011,10,4,10,0,1,Humid,10125
Kashi Vishwanath,Varanasi,2011,10,4,11,0,1,Cloudy,14299
Kashi Vishwanath,Varanasi,2011,10,4,12,0,1,Cloudy,8762
Kashi Vishwanath,Varanasi,2011,10,4,13,0,1,Rain,14485
Kashi Vishwanath,Varanasi,2011,10,4,14,0,1,Clear,7652
Kashi Vishwanath,Varanasi,2011,10,4,15,0,1,Clear,11835
Kashi Vishwanath,Varanasi,2011,10,4,16,0,1,Rain,7873
Kashi Vishwanath,Varanasi,2011,10,4,17,0,1,Clear,14206
Kashi Vishwanath,Varanasi,2011,10,4,18,0,1,Clear,23980
Kashi Vishwanath,Varanasi,2011,10,4,19,0,1,Foggy,35787
Kashi Vishwanath,Varanasi,2011,10,4,20,0,1,Rain,39303
Kashi Vishwanath,Varanasi,2011,10,4,21,0,1,Foggy,18818
Kashi Vishwanath,Varanasi,2011,10,4,22,0,1,Clear,30214
Kashi Vishwanath,Varanasi,2011,10,4,23,0,1,Humid,12602
Kashi Vishwanath,Varanasi,2011,10,5,0,0,1,Clear,14321
Kashi Vishwanath,Varanasi,2011,10,5,1,0,1,Foggy,12541
Kashi Vishwanath,Varanasi,2011,10,5,2,0,1,Cloudy,8521
Kashi Vishwanath,Varanasi,2011,10,5,3,0,1,Rain,7030
Kashi Vishwanath,Varanasi,2011,10,5,4,0,1,Foggy,6402
Kashi Vishwanath,Varanasi,2011,10,5,5,0,1,Cloudy,17268
Kashi Vishwanath,Varanasi,2011,10,5,6,0,1,Foggy,29818
Kashi Vishwanath,Varanasi,2011,10,5,7,0,1,Rain,25217
Kashi Vishwanath,Varanasi,2011,10,5,8,0,1,Foggy,13902
Kashi Vishwanath,Varanasi,2011,10,5,9,0,1,Clear,14210
Kashi Vishwanath,Varanasi,2011,10,5,10,0,1,Clear,13314
Kashi Vishwanath,Varanasi,2011,10,5,11,0,1,Foggy,7193
Kashi Vishwanath,Varanasi,2011,10,5,12,0,1,Rain,6069
Kashi Vishwanath,Varanasi,2011,10,5,13,0,1,Clear,14727
Kashi Vishwanath,Varanasi,2011,10,5,14,0,1,Humid,8216
Kashi Vishwanath,Varanasi,2011,10,5,15,0,1,Clear,11943
Kashi Vishwanath,Varanasi,2011,10,5,16,0,1,Foggy,13112
Kashi Vishwanath,Varanasi,2011,10,5,17,0,1,Humid,8011
Kashi Vishwanath,Varanasi,2011,10,5,18,0,1,Humid,29162
Kashi Vishwanath,Varanasi,2011,10,5,19,0,1,Rain,31097
Kashi Vishwanath,Varanasi,2011,10,5,20,0,1,Foggy,41024
Kashi Vishwanath,Varanasi,2011,10,5,21,0,1,Humid,25150
Kashi Vishwanath,Varanasi,2011,10,5,22,0,1,Rain,37260
Kashi Vishwanath,Varanasi,2011,10,5,23,0,1,Foggy,14281
Kashi Vishwanath,Varanasi,2011,10,6,0,0,1,Rain,13636
Kashi Vishwanath,Varanasi,2011,10,6,1,0,1,Foggy,14959
Kashi Vishwanath,Varanasi,2011,10,6,2,0,1,Humid,6751
Kashi Vishwanath,Varanasi,2011,10,6,3,0,1,Foggy,8105
Kashi Vishwanath,Varanasi,2011,10,6,4,0,1,Humid,7082
Kashi Vishwanath,Varanasi,2011,10,6,5,0,1,Clear,24970
Kashi Vishwanath,Varanasi,2011,10,6,6,0,1,Foggy,21495
Kashi Vishwanath,Varanasi,2011,10,6,7,0,1,Clear,21238
Kashi Vishwanath,Varanasi,2011,10,6,8,0,1,Humid,29378
Kashi Vishwanath,Varanasi,2011,10,6,9,0,1,Rain,20692
Kashi Vishwanath,Varanasi,2011,10,6,10,0,1,Cloudy,10435
Kashi Vishwanath,Varanasi,2011,10,6,11,0,1,Clear,12838
Kashi Vishwanath,Varanasi,2011,10,6,12,0,1,Rain,11081
Kashi Vishwanath,Varanasi,2011,10,6,13,0,1,Clear,7290
Kashi Vishwanath,Varanasi,2011,10,6,14,0,1,Rain,9697
Kashi Vishwanath,Varanasi,2011,10,6,15,0,1,Clear,11157
Kashi Vishwanath,Varanasi,2011,10,6,16,0,1,Clear,8174
Kashi Vishwanath,Varanasi,2011,10,6,17,0,1,Humid,9464
Kashi Vishwanath,Varanasi,2011,10,6,18,0,1,Foggy,22681
Kashi Vishwanath,Varanasi,2011,10,6,19,0,1,Foggy,27821
Kashi Vishwanath,Varanasi,2011,10,6,20,0,1,Cloudy,29843
Kashi Vishwanath,Varanasi,2011,10,6,21,0,1,Foggy,47233
Kashi Vishwanath,Varanasi,2011,10,6,22,0,1,Foggy,22678
Kashi Vishwanath,Varanasi,2011,10,6,23,0,1,Foggy,13180
Kashi Vishwanath,Varanasi,2011,10,7,0,0,1,Cloudy,13738
Kashi Vishwanath,Varanasi,2011,10,7,1,0,1,Humid,14868
Kashi Vishwanath,Varanasi,2011,10,7,2,0,1,Humid,10577
Kashi Vishwanath,Varanasi,2011,10,7,3,0,1,Clear,6645
Kashi Vishwanath,Varanasi,2011,10,7,4,0,1,Clear,13947
Kashi Vishwanath,Varanasi,2011,10,7,5,0,1,Rain,21212
Kashi Vishwanath,Varanasi,2011,10,7,6,0,1,Clear,24267
Kashi Vishwanath,Varanasi,2011,10,7,7,0,1,Cloudy,27831
Kashi Vishwanath,Varanasi,2011,10,7,8,0,1,Rain,24952
